Station_Name,total_trains,unique_trains
SIBAICHANDI,47,47
BOBBILI JN.,46,46
KANHANGAD,46,46
AHMADPUR JN.,46,46
KASARWADI,46,46
BHAWANI MAND,46,46
BALANGIR,46,46
IRINJALAKUDA,46,46
NALHATI JN.,46,46
MUMBAI VADAL,46,46
HOJAI,46,46
AKALTARA,46,46
SEHORE,46,46
NIMO,46,46
LALKUA JN.,46,46
GHORAWADI,46,46
BALLY GHAT,46,46
BALLY HALT,46,46
ANGUL,46,46
AMALNER,46,46
BARANAGAR RO,46,46
BARGARH ROAD,46,46
GADAG JN.,46,46
KHAGRAGHAT R,46,46
LAHERIA SARA,46,46
PALLA ROAD,46,46
BHANDARA RD,46,46
SATARA,46,46
TANDUR,46,46
RAJCHANDRAPU,46,46
BARKAKANA,46,46
FARRUKHABAD,45,45
SALAR,45,45
DALSINGH SAR,45,45
DIMAPUR,45,45
HOOGHLY GHAT,45,45
GARIFA,45,45
MARIANI JN.,45,45
SOMPETA,45,45
BEGDAEWAI,45,45
PATLIPUTRA,45,45
NARWANA JN.,45,45
DEVLALI,44,44
LEBUTALA,44,44
GHOVARASH GH,44,44
NIHALGARH,44,44
SHAHABAD,44,44
NIMDANRI,44,44
BERCHHA,44,44
HARUA ROAD,44,44
GHORADONGRI,44,44
MANDYA,44,44
BAHIRA KALIB,44,44
BIHTA,44,44
NAGAUR,44,44
RATANAGARH J,44,44
JHARGRAM,44,44
BASIRHAT,44,44
BHASILA,44,44
KAZIPARA  HA,44,44
NAGARSOL,44,44
CHAMPAPUKUR,44,44
KANKRA MIRZA,44,44
KAREA KADAMB,44,44
BARPETA ROAD,44,44
BARIARPUR,44,44
SHAMGARH,44,44
BHYABLA,44,44
HASANABAD,44,44
MALATI PUR,44,44
DABRA,44,44
KUMBAKONAM,44,44
KUDAL,44,44
BAPUDHAM MOT,44,44
TILDA,44,44
BHIMAVARAM T,44,44
TAKI ROAD,44,44
FIROZABAD,44,44
BELIAGHATA R,44,44
KUTTIPPURAM,44,44
TUMSAR RD,44,44
MADHYAMPUR,44,44
UMARIA,44,44
SONDALIA,44,44
TADIPATRI,43,43
TAPRI JN.,43,43
BASAR,43,43
SHRI MATA VA,43,43
SHANTIPUR JN,43,43
BANGALORE EA,43,43
BAHIRPUYA HA,43,43
MAKRANA JN.,43,43
DIPHU,43,43
SANGRAMPUR,43,43
MUNIGUDA,42,42
KANPUR ANWAR,42,42
CHANDAUSI JN,42,42
BALA GARH,42,42
DHAULPUR,42,42
DIGHWARA,42,42
KAPTANGANJ J,42,42
PIDUGURALLA,42,42
DUMRAON,42,42
JIRAT,42,42
TALIT,42,42
DHAMANGAON,42,42
PRAYAG JN.,42,42
PURBA STHALI,42,42
PARPANANGADI,42,42
KHAMARGACHHI,42,42
BACHWARA JN.,42,42
DEOBAND,42,42
BHILWARA,42,42
BHIMAVARAM J,42,42
SADULPUR JN,42,42
RAZAMPETA,42,42
KOSI KALAN,42,42
SITARAMPUR J,42,42
SAKRI JN.,42,42
BANSH BARIA,42,42
TRIBENI,42,42
SOMRA BAZAR,42,42
ANAND NAGAR,42,42
KUNTIGHAT,42,42
GARWA ROAD J,42,42
ANUGRAH NARA,42,42
SHEGAON,42,42
AKBARPUR JN.,42,42
SHRI GANGANA,42,42
ANARA,42,42
NANGLOI,42,42
BAIRAGARH,42,42
GUPTIPARA,42,42
VINDHYACHAL,42,42
SHERTALAI,41,41
SIHORAROAD,41,41
BILIMORA JN.,41,41
SELU,41,41
SANGLI,41,41
SINGAPERUMAL,41,41
HIJLI,41,41
SAMUDRA GARH,41,41
KAIKALUR,41,41
DHATRI GRAM,41,41
BEAWAR,41,41
BHOJUDIH JN.,41,41
AKIVIDU,41,41
CHANDER NAGA,41,41
CHAPARMUKH J,41,41
PAKALA JN.,41,41
BADSHAHNAGAR,41,41
KODAIKKANAL,41,41
PALI MARWAR,41,41
DALKOLHA,41,41
PATAUDI ROAD,41,41
KAMSHET,41,41
GEDE,40,40
DUMURDAHA,40,40
INDARA JN.,40,40
HINDAUN CITY,40,40
DURAUNDHA JN,40,40
RAXAUL JN.,40,40
BETTIAH,40,40
ANNAVARAM,40,40
SAMAKHIYALI,40,40
SIMRI BAKHTI,40,40
SATTENAPALLE,40,40
GANDHIDHAM J,40,40
GARHI HARSAR,40,40
GHATSILA,40,40
AGRADWIP,40,40
GUSKARA,40,40
HABIBPUR,40,40
KARMALI,40,40
QUILANDI,40,40
DATIA,40,40
PATULI,40,40
TALCHER ROAD,40,40
DHUPGURI,40,40
PARTUR,40,40
DALTONGANJ,40,40
MADHIRA,40,40
NAILA,40,40
DAINHAT,40,40
PHULIA,40,40
LALAGUDA GAT,40,40
BAGHNAPARA,40,40
NOKHA,40,40
CHUNAR JN.,40,40
KUPPAM,39,39
KOSAMBA JN.,39,39
VADGAON,39,39
LAKSHMIPUR,39,39
PHULWARI SHA,39,39
PEDDAPALLI,39,39
BHANDARTIKUR,39,39
SHALIMAR,39,39
BURNPUR,39,39
BHADOHI,39,39
RAMANAGARAM,39,39
BELAPUR,39,39
BEHULA,39,39
JADCHARLA,39,39
WARIA,39,39
NEW TINSUKIA,39,39
KANKAVALI,38,38
JHALIDA,38,38
JAMTARA,38,38
BHAINA H,38,38
SAMPLA,38,38
KAHALGAON,38,38
RAGHUNATHPUR,38,38
ATGAON,38,38
DUAN,38,38
BELA,38,38
BAZARASU,38,38
JAYNAGAR,38,38
KALINAGAR,38,38
BELLARY JN.,38,38
SANGRUR,38,38
SINGARAYAKON,38,38
ZAFARABAD JN,38,38
NARKHER,38,38
BAHIRGACHHI,38,38
MAYURHAT,38,38
BIBHUTI BHUS,38,38
MADANMAHAL,38,38
BAGULA,38,38
NADIKUDE JN.,38,38
KANTABANJI,38,38
PULGAON JN.,38,38
TINDIVANAM,38,38
KOCHUVELI,38,38
BANPUR,38,38
MAGARWARA,38,38
ARANGHATA,38,38
GAURIGANJ,38,38
PODANUR JN.,38,38
KANPUR BRIDG,38,38
TARAK NAGAR,38,38
RAJGANGPUR,38,38
